Mat'l,Description,Pallet QTY,Random Wt,Case Weight,Cust #,,,,,,
100452,COLBY JACK CHNK 12/32 OZ LUCE,65,No,25.03,04776,,,,,,
100657,MILD CHED C CHNK 12/32 OZ LUCE,65,No,25.03,04396,,,,,,
101030,MED CHED C CHNK 12/16 OZ LUCE,147,No,12.58,04765,,,,,,
101037,MED CHED C BAR 12/8 OZ LUCE,275,No,6.38,04761,,,,,,
101050,MED CHED C CHNK 12/32 OZ LUCE,65,No,25.03,04397,,,,,,
101127,SHARP CHED C CHNK 12/32 OZ LUCE,65,No,25.03,04398,,,,,,
101177,SHARP CHED C BAR 12/8 OZ LUCE,275,No,6.38,04762,,,,,,
101225,SHARP CHED C CHNK 12/16 OZ LUCE,147,No,12.58,04404,,,,,,
101293,CHED FEA C FOCCACIA SH 4/5 LB UNL,40,No,21.64,13440,,,,,,
101859,MONT JACK CHNK 12/16 OZ LUCE,147,No,12.58,04395,,,,,,
101875,MONT JACK BAR 12/8 OZ LUCE,275,No,6.38,04764,,,,,,
103058,PREP PROD C IWS SLC 12/12 OZ LUCE,180,No,9.422,04333,,,,,,
103095,PREP PROD C IWS SLC 12/16 OZ LUCE,140,No,12.552,04341,,,,,,
110049,MUENSTER 2/5.5 LB PT,162,Yes,13,90611,,,,,,
160443,MONT JACK CHNK 12/32 OZ LUCE,65,No,25.03,04399,,,,,,
160486,MUENSTER SHNGL SLC 12/8 OZ PT,128,No,6.61,04557,,,,,,
160584,SWISS SHNGL SLC 12/8 OZ PTC,128,No,6.55,04583,,,,,,
160797,SHARP CHED C SHR 12/8 OZ ZSUP LUCE,120,No,6.74,04780,,,,,,
160799,MILD CHED C FNCY SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04267,,,,,,
160800,MED CHED C SHR 12/8 OZ ZSUP LUCE,120,No,6.74,04275,,,,,,
160815,COLBY JACK FEA SHR 6/32 OZ ZIP LUCE,60,No,13.26,04718,,,,,,
160824,MONT JACK FEA SHR 6/32 OZ ZIP LUCE,60,No,13.26,04719,,,,,,
160827,MED CHED C FEA SHR 6/32 OZ ZIP LUCE,60,No,13.26,04778,,,,,,
160832,MEX FNCY 4CH SHR 12/8 OZ ZSUP LUCE,120,No,6.76,04726,,,,,,
160834,MEX FNCY 4CH SHR 6/32 OZ ZIP LUCE,60,No,13.26,04770,,,,,,
161095,PREP PROD W IWS SLC 12/12 OZ LUCE,180,No,9.422,04314,,,,,,
163442,COLBY JACK CHNK 12/16 OZ LUCE,147,No,12.58,04223,,,,,,
164265,RR MUENSTER BAR 12/8 OZ LUCE,275,No,6.38,04321,,,,,,
165054,SWISS SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04526,,,,,,
165055,AGED SWISS SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04518,,,,,,
165402,PEPPER JACK SHNGL SLC 12/8 OZ LUCE,128,No,6.83,04466,,,,,,
165711,PARTY TRAY SHNGL SLC 12/16 OZ LUCE,65,No,13.51,04527,,,,,,
166170,PEPPER JACK CHNK 12/32 OZ LUCE,65,No,25.03,04335,,,,,,
166240,SHARP CHED C FEA SHR 6/32 OZ ZIP LUCE,60,No,13.26,04779,,,,,,
167075,COLBY JACK SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04598,,,,,,
167076,MED CHED C SHNGL SLC 12/8 OZ LUCE,128,No,6.55,04517,,,,,,
167363,SHARP CHED C SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04603,,,,,,
167364,MUENSTER SHNGL SLC 12/8 OZ LUCE,128,No,6.61,04600,,,,,,
167365,HAVARTI SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04602,,,,,,
167366,SMO GOUDA SHNGL SLC 12/8 OZ LUCE,128,No,6.63,04601,,,,,,
167428,ASIAGO FNCY SHR 4/5 LB UNL (FS),40,No,21.46,13401,,,,,,
168162,PARTY TRAY SHNGL SLC 12/16 OZ PTC,65,No,13.51,04611,,,,,,
168452,PEPPER JACK SHR 12/8 OZ ZSUP LUCE,120,No,6.83,04614,,,,,,
168470,PARTY PLEASER SHNGL SLC 12/16 OZ LUCE,65,No,13.51,04621,,,,,,
168986,PEPPER JACK BAR 12/8 OZ LUCE,275,No,6.38,04481,,,,,,
169132,SHARP CHED C CRK CUT 12/10 OZ LUCE,85,No,9.3,07584,,,,,,
169561,MED CHD C THIN SHNGL SLC 12/6.84 OZ LUCE,128,No,5.65,04836,,,,,,
169562,SWISS THIN SHNGL SLC 12/6.84 OZ LUCE,128,No,5.65,04837,,,,,,
