Material,Material Description,Ti/Hi,Shelf Life,Net Weight,WUn,Pallet Qty,Customer Material Number
167596,PREP PROD C 12/2 LB CLAN,15X05,210,24,LB,75,372959
167951,COLBY JACK BAR 24/8 OZ HF,20X06,150,12,LB,120,6795
167952,MOZZ BAR 24/8 OZ HF,20X06,150,12,LB,120,6659
167953,MILD CHED C BAR 24/8 OZ HF,20X06,150,12,LB,120,6757
167957,CMBO MONT-JK/PJCK BAR 48/8 OZ HF,12X06,150,24,LB,72,6617
167970,X-SHARP CHED C BAR 24/8 OZ HF,20X06,150,12,LB,120,40195
168911,COLBY BAR 24/8 OZ HF,20X06,150,12,LB,120,43688
169146,SWISS BAR 18/8 OZ HF,28X05,150,9,LB,140,44460
170371,MILD CHED C SHR 12/16 OZ ZSUP HF,10X05,150,12,LB,50,47299
170372,MOZZ LMPS SHR 12/16 OZ ZSUP HF,10X05,150,12,LB,50,47297
170373,MEX FNCY SHR 12/12 OZ ZSUP HF,10X05,150,9,LB,50,47303
170374,"COLBY,MONT JCK FNCY SHR 12/12 OZ ZSUP HF",10X05,150,9,LB,50,47302
170376,SHARP CHED C FNCY SHR 12/12 OZ ZSUP HF,10X05,150,9,LB,50,47301
170381,CMBO TACO/ITAL FCY SHR 12/12 OZ ZSUP HF,10X05,150,9,LB,50,47300
170385,SHARP CHED C BAR 24/8 OZ HF,20X06,150,12,LB,120,47319
170518,CMBO MEX/MOZ FCY 12/6OZ ZSUP SIMNAT(ORG),16X06,120,4.5,LB,96,47771
172288,CMBO MOZZ/MILD C SHR 6/2 LB HF (SI),12X05,150,12,LB,60,51757
172316,PREP PROD C IWS SLC 24/12 OZ HF,20X05,210,18,LB,100,51652
172318,SWISS PREP PROD IWS SLC 24/12 OZ HF,20X05,210,18,LB,100,51650
172319,AMER C SLC 18/16 OZ HF,17X05,210,18,LB,85,51649
172752,CMBO SHP/MEX 2%FCY SHR 12/11OZ ZSUP HF,10X05,150,8.25,LB,50,47298
173827,COLBY JACK SHNGL SLC 18/7.5 OZ BRGD HF,17X04,150,8.44,LB,68,58712
173828,PROV SHNGL SLC 16/8 OZ BRGD HF,17X04,150,8,LB,68,58711
173829,SWISS SHNGL SLC 18/7 OZ BRGD HF,17X04,150,7.875,LB,68,58708
173837,PEPPER JACK SHNGL SLC 18/7.5 OZ BRGD HF,17X04,150,8.44,LB,68,58714
173838,SHARP CHED C SHNGL SLC 18/8 OZ BRGD HF,17X04,150,9,LB,68,58715
173945,CMBO MILD/COJK CUBE 26/8 OZ ZSUP HF,08X05,150,13,LB,40,58399
173949,CMBO SNKR 12/3/1.5 OZ PKST,20X04,120,3.375,LB,80,11785
174421,2% RDCFAT C IWS SLC  24/10.66 OZ HF,20X05,210,15.99,LB,100,51653
174496,CMBO HAB/GOUDA SNACK STK 24/9 OZ EMPS,08X05,150,13.5,LB,40,53328
174498,CMBO PJK/TRPL CH SHR 12/12OZ ZSUP HF,10X05,150,9,LB,50,11414
174513,CMBO GOUDA/XSH W CRK CT 16/10 OZ EMPS,13X05,150,10,LB,65,58327
174515,CMBO GOUDA/XSH C CRK CT 16/10 OZ EMPS,13X05,150,10,LB,65,58327
174570,CMBO HAV/GOU SHNGL SLC 18/7OZ BRGD EMPS,17X04,150,7.875,LB,68,700352
174675,CMBO CJCK/MILD 22/6OZ BRGD SIMNAT (ORG),17X04,150,8.25,LB,68,700664
174678,CMBO HABJK/CHP SHNG 18/8OZ BRGD EMPS(SEA,17X04,150,9,LB,68,701767
174866,CMBO MED/MILD C SHNGL SLC 18/8OZ BRGD HF,17X04,150,9,LB,68,58716
174874,CMBO MOZZ/MUEN SHNGL SLC 16/8 OZ BRGD HF,17X04,150,8,LB,68,700978
174926,CMBO NYXSH/GOU CUBE 24/8OZ ZSUP EMPS(SI),08X05,150,12,LB,40,706347
174932,PARM FNCY SHR 12/6 OZ ZSUP HF,16X06,150,4.5,LB,96,702907
175023,NY X-SH CHED W STK 18/10 OZ EMPS,16X07,150,11.25,LB,112,44423
175029,PREP PROD W QUESO 12/2 LB (SB) CLAN,15X05,210,24,LB,75,706616
175105,CMBO SWEET SNKR 12/3/1.5 OZ PKST,20X04,120,3.375,LB,80,706659
175314,CMBO MED/MLD THK SHR 12/11OZ ZSUP HF,10X05,150,8.25,LB,50,704831
175361,CMBO PROTEIN SNKR 12/3/1.5 OZ PKST,20X04,180,3.375,LB,80,706441
175401,"CMBO SW,GRUY/GOUDA SHR 12/8 OZ ZSUP EMPS",16X06,150,6,LB,96,706847
175743,CMBO MILD/COJK SNACK STK 24/9OZ HF,08X05,150,13.5,LB,40,5943
176204,CMBO HIC SM GOUD/CHED C 18/8OZ BRGD EMPS,17X04,150,9,LB,68,710496
176486,LACEY SWISS SHNGL GRNGO 12/8 OZ ALDI,14X07,150,6,LB,98,58378
176497,SMO PROV SHNGL GRNGO 12/8 OZ ALDI,14X07,150,6,LB,98,58379
176506,CMBO PARTY TRAY SLC 13.7/16OZ ES/HF,12X05,180,11.425,LB,60,711779
176657,GRILL PK COJK/PEPJK SLC 12/16 OZ HF,12X05,150,12,LB,60,708303
176675,CMBO MAC CH/HOT HNY SHR 12/8OZ ZSUP EMPS,16X06,150,6,LB,96,711888
