Material,Material number,Ti/Hi,EAN/UPC,Pallet Qty,Cs Wt,Pal Wt,Source Plant
163954,SWISS CHNK 12/16 OZ HY-V,23X05,7545009313,115,12,1380,Hiram
168663,SWISS BAR 12/8 OZ HY-V,28X07,7545006249,196,6,1176,Hiram
169721,HORSERADISH BAR 12/8 OZ HY-V,25X11,7545012748,275,6,1650,Hiram
170268,BABY SWISS BAR 12/8 OZ  HY-V SEL,28X07,7545015025,196,6,1176,Hiram
170359,SWISS A CUT 2/8 LB HY-V,10X09,7545016243,90,16,1440,Hiram
170360,BABY SWISS A CUT 4/4 LB HY-V,10X09,7545016242,90,12,1080,Hiram
170361,PROV 2/6 LB HY-V,16X09,7545016249,144,12,1728,Hiram
170363,PEPPER JACK 2/5 LB HY-V,16X08,7545016250,128,10,1280,Hiram
170364,COLBY JACK 2/5 LB HY-V,16X08,7545016245,128,10,1280,Hiram
170366,MILD CHED C 2/5 LB HY-V,16X08,7545016247,128,10,1280,Hiram
170367,SHARP CHED C 2/5 LB HY-V,16X08,7545016248,128,10,1280,Hiram
174471,SWISS CHNK 12/32 OZ HY-V,10X04,7545024693,40,24,960,Hiram
170362,AMER C SLC 4/5 LB 120 CT HY-V,20X05,7545016244,100,20,2000,Lax
100552,COLBY JACK SHR 12/8 OZ ZSUP HY-V,15X08,7545009384,120,6,720,Ply
100561,COLBY JACK FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009397,120,6,720,Ply
100842,MILD CHED C SHR 12/16 OZ ZSUP HY-V,12X05,7545009380,60,12,720,Ply
100905,"50/50 MJ,CHD C FNCY SHR 4/5 LB GLC",08X05,3651414462,40,20,800,Ply
100919,MILD CHED C FNCY SHR 4/5 LB GLC,08X05,3651413045,40,20,800,Ply
100936,MILD CHED C SHR 6/2 LB ZIP HY-V,15X05,7545009385,75,12,900,Ply
100952,MILD CHED C SHR 4/5 LB HY-V,08X05,7545009389,40,20,800,Ply
101261,SHARP CHED C SHR 12/16 OZ ZSUP HY-V,12X05,7545009381,60,12,720,Ply
101268,SHARP CHED C SHR 12/8 OZ ZSUP HY-V,15X08,7545009371,120,6,720,Ply
101897,TACO FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009378,120,6,720,Ply
101924,MEX FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009400,120,6,720,Ply
102153,MOZZ LMPS SHR 12/16 OZ ZSUP HY-V,12X05,7545009382,60,12,720,Ply
102179,MOZZ LMPS SHR 12/8 OZ ZSUP HY-V,15X08,7545009375,120,6,720,Ply
102210,MOZZ LMPS FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009396,120,6,720,Ply
102233,PIZZA FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009379,120,6,720,Ply
102267,ITALIAN FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009398,120,6,720,Ply
102394,MOZZ LMPS SHR 4/5 LB HY-V,08X05,7545009388,40,20,800,Ply
102799,PARM FNCY SHR 12/6 OZ ZSUP HY-V,15X08,7545009399,120,6,720,Ply
160746,MILD CHED C SHNGL SLC 12/8 OZ HY-V,16X08,7545052500,128,6,768,Ply
160747,MUENSTER SHNGL SLC 12/8 OZ HY-V,16X08,7545052505,128,6,768,Ply
160748,PEPPER JACK SHNGL SLC 12/8 OZ HY-V,16X08,7545052502,128,6,768,Ply
160749,PROV SHNGL SLC 12/8 OZ HY-V,16X08,7545052503,128,6,768,Ply
160752,COLBY JACK SHNGL SLC 12/8 OZ HY-V,16X08,7545052501,128,6,768,Ply
160754,SWISS SHNGL SLC 12/8 OZ HY-V,16X08,7545052504,128,6,768,Ply
163219,CHED/JACK FNCY SHR 12/8 OZ ZSUP HY-V,15X08,7545009336,120,6,720,Ply
163224,COLBY C SHNGL SLC 12/8 OZ HY-V,16X08,7545009337,128,6,768,Ply
164004,SHARP CHED C BAR 12/8 OZ HY-V,25X11,7545009407,275,6,1650,Ply
164005,COLBY JACK BAR 12/8 OZ HY-V,25X11,7545009408,275,6,1650,Ply
164006,MOZZ BAR 12/8 OZ HY-V,25X11,7545009412,275,6,1650,Ply
164007,MED CHED C BAR 12/8 OZ HY-V,25X11,7545009406,275,6,1650,Ply
164008,MILD CHED C BAR 12/8 OZ HY-V,25X11,7545009405,275,6,1650,Ply
164009,MONT JACK BAR 12/8 OZ HY-V,25X11,7545009411,275,6,1650,Ply
