Material,Material number,Ti/Hi,EAN/UPC,Pallet Qty,Cs Wt,Pallet Wt
170231,PREP PROD C IWS SLC 48/12 OZ SCHK,10X05,4131858015,50,36,1800
176188,MED/COJCK SLC 12/32 OZ TWPK ZIP SCHK,10X05,4131858228,50,24,1200
176189,SHARP C/PROV SLC 12/32 OZ TWPK ZIP SCHK,10X05,4131858229,50,24,1200
168157,CHSE SPRD C LOAF 12/2 LB SCHK,10X07,4131858000,70,24,1680
170229,MOZZ LMPS SHR 12/16 OZ ZSUP SCHK,12X05,4131858011,60,12,720
170232,MILD CHED C SHR 12/16 OZ ZSUP SCHK,12X05,4131858034,60,12,720
170233,MEX FNCY 4CH SHR 12/16 OZ ZSUP SCHK,12X05,4131858111,60,12,720
170236,SHARP CHED C FCY SHR 12/16 OZ ZSUP SCHK,12X05,4131858110,60,12,720
170237,COLBY JACK FCY SHR 12/16 OZ ZSUP SCHK,12X05,4131858115,60,12,720
170238,MOZZ LMPS FCY SHR 12/16 OZ ZSUP SCHK,12X05,4131858120,60,12,720
170250,SHARP CHED C SHR 12/16 OZ ZSUP SCHK,12X05,4131858121,60,12,720
174363,PARTY TRAY SHNGL SLC 12/16 OZ SCHK,13X05,4131858201,65,12,780
170418,MEX FNCY 4CH SHR 6/2 LB ZIP SCHK,15X05,4131858055,75,12,900
170419,MOZZ LMPS SHR 6/2 LB ZIP SCHK,15X05,4131858054,75,12,900
170420,SHARP CHED C SHR 6/2 LB ZIP SCHK,15X05,4131858053,75,12,900
173595,MILD CHED C SHR 6/2 LB ZIP SCHK,15X05,4131858173,75,12,900
173602,COLBY JACK SHR 6/2 LB ZIP SCHK,15X05,4131858174,75,12,900
174600,ITALIAN FNCY SHR 6/2 LB ZIP SCHK,15X05,4131858207,75,12,900
100866,MILD CHED C SHR 12/8 OZ ZSUP SCHK,15X08,4131858027,120,6,720
101502,PIZZA FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858045,120,6,720
101932,MEX FNCY 4CH SHR 12/8 OZ ZSUP SCHK,15X08,4131858047,120,6,720
170228,MOZZ LMPS SHR 12/8 OZ ZSUP SCHK,15X08,4131858010,120,6,720
170241,MEX QUESO SHR 12/8 OZ ZSUP SCHK,15X08,4131858029,120,6,720
171498,CHED/JACK FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858098,120,6,720
171501,COLBY JACK FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858064,120,6,720
171502,COLBY JACK SHR 12/8 OZ ZSUP SCHK,15X08,4131858097,120,6,720
171503,MOZZ LMPS FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858048,120,6,720
171504,MILD CHED C FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858049,120,6,720
171505,MONT JACK FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858102,120,6,720
171506,SHARP CHED C FNCY SHR 12/8 OZ ZSUP SCHK,15X08,4131858093,120,6,720
171676,SHARP CHED C SHR 12/8 OZ ZSUP SCHK,15X08,4131858091,120,6,720
174364,COLBY JACK CUBE 12/6.4 OZ SCHK,15X08,4131858199,120,4.8,576
174375,MILD CHED C CUBE 12/6.4 OZ SCHK,15X08,4131858200,120,4.8,576
175756,PEPPER JACK CUBE 12/6.4 OZ SCHK,15X08,4131858222,120,4.8,576
176033,MONT JK W/REAPER SHR 12/8 OZ ZSUP SCHK,15X08,4131858227,120,6,720
173793,MED/COJCK 6/32 OZ TWPK RGD SCHK,16X05,4131858182,80,12,960
175766,SHP CHD C/PROV 6/32 OZ TWPK RGD SCHK,16X05,4131858223,80,12,960
174367,HAVARTI SHNGL SLC 12/8 OZ SCHK,16X08,4131858198,128,6,768
176042,MONT JCK W/REAPER SHNGL SLC 12/8 OZ SCHK,16X08,4131858226,128,6,768
173790,SHARP CHED C CRK CUT 12/10 OZ SCHK,17X05,4131858185,85,7.5,637.5
173791,COLBY JACK CRK CUT 12/10 OZ SCHK,17X05,4131858184,85,7.5,637.5
174284,PEPPER JACK CRK CUT 12/10 OZ SCHK,17X05,4131858202,85,7.5,637.5
174285,X-SHARP CHED W CRK CUT 12/10 OZ SCHK,17X05,4131858203,85,7.5,637.5
175909,GOUDA CRK CUT 12/10 OZ SCHK,17X05,4131858225,85,7.5,637.5
171639,CHSE PROD C IWS SLC 6/3 LB SCHK,20X05,4131858107,100,18,1800
173680,AMER C SLC 6/3 LB 72 CT VERT SCHK,20X05,4131858105,100,18,1800
171508,CHSE PROD C IWS SLC 12/16 OZ SCHK,20X07,4131858016,140,12,1680
173679,AMER C SLC 12/16 OZ SCHK,20X08,4131858106,160,12,1920
171495,2% RDCFAT C IWS SLC 12/12 OZ SCHK,20X09,4131858108,180,9,1620
171496,FATFR C IWS SLC 12/12 OZ SCHK,20X09,4131858109,180,9,1620
171678,SWISS CHS PROD W IWS SLC 12/12 OZ SCHK,20X09,4131858150,180,9,1620
163966,PEPPER JACK CHNK 12/16 OZ SCHK,21X07,4131858073,147,12,1764
163967,COLBY C CHNK 12/16 OZ SCHK,21X07,4131858074,147,12,1764
163969,MILD CHED C CHNK 12/16 OZ SCHK,21X07,4131858069,147,12,1764
163896,COLBY JACK BAR 12/8 OZ SCHK,25X11,4131858042,275,6,1650
163913,MILD CHED C BAR 12/8 OZ SCHK,25X11,4131858036,275,6,1650
163915,MONT JACK BAR 12/8 OZ SCHK,25X11,4131858044,275,6,1650
