Material,Material Desc,Customer Material Number,Net Weight,Gross Weight,UOM,TiHi,Pallet Qty
172990,PEPPER JACK CRK CUT 12/10 OZ GV,564601687,7.5,9.3,LB,17X05,85
172991,COLBY JACK CRK CUT 12/10 OZ GV,564601700,7.5,9.3,LB,17X05,85
173000,SHARP CHED C CRK CUT 12/10 OZ GV,564601697,7.5,9.3,LB,17X05,85
173194,SWISS CHNK 10/16 OZ-SR GV,566878354,10,10.75,LB,26X05,130
173253,SWISS THIN SHNGL SLC 9/6.84 OZ-SR GV,566878391,3.848,4.848,LB,45X04,180
173401,PARTY TRAY SHNGL SLC 8/16 OZ-SR GV,568171640,8,9,LB,16X05,80
173521,AMER C 2% SLC 12/16 OZ GV,566878345,12,12.522,LB,20X08,160
173522,AMER W SLC 12/16 OZ GV,566878369,12,12.522,LB,20X08,160
173523,AMER C SLC 12/16 OZ GV,566878401,12,12.522,LB,20X08,160
173526,AMER C SLC 6/3 LB 72 CT VERT GV,566878403,18,18.551,LB,20X05,100
173527,PREP PROD C IWS SLC 6/3 LB GV,566878405,18,18.551,LB,20X04,80
173528,FATFR C IWS SLC 12/12 OZ GV,566878402,9,9.422,LB,20X09,180
173529,2%RF C CAL ADDED IWS SLC 12/16 OZ GV,566878347,12,12.552,LB,20X07,140
173531,PREP PROD W IWS SLC 12/12 OZ GV,566878367,9,9.422,LB,20X09,180
173546,MOZZ 2% RF SHR 5/16 OZ ZSUP-SR GV,569753151,5,6,LB,30X04,120
173585,PREP PROD C IWS 12/24 OZ TWPK GV,567066253,18,18.844,LB,15X06,90
174708,MILD CHED C SNACK STK 12/9 OZ ZSUP-SR GV,580717628,6.75,7.25,LB,24X04,96
174720,COLBY JACK LOAF 4/4 LB GV,580717670,16,16.9,LB,16X06,96
174722,SHARP CHED C SNK BAR 12/9 OZ ZSUP-SR GV,580717624,6.75,7.744,LB,24X04,96
174723,SHARP C SNACK STK 12/9 OZ ZSUP-SR GV,580717629,6.75,7.25,LB,24X04,96
174724,COLBY JACK SNK BAR 12/9 OZ ZSUP-SR GV,580717622,6.75,7.25,LB,24X04,96
174726,PEPPER JACK SNACK STK 12/9 OZ ZSUP-SR GV,580717627,6.75,7.25,LB,24X04,96
174727,PEPPER JACK SNK BAR 12/9 OZ ZSUP-SR GV,580717623,6.75,7.744,LB,24X04,96
176114,MJCK REAPER/MOZZ SHR 6/7 OZ ZSUP-SR GV,657662838,2.625,3.625,LB,40X05,200
176452,CHED C/AMER C SHR 6/7 OZ ZSUP-SR GV,662786179,2.625,3.625,LB,40X05,200
176615,SHARP W ALMD CRAN SNKR 4/3/1.5 OZ GV,668598605,1.125,1.564,LB,30X09,270
176616,SH W MC/RCRAN/GRA SNKR 4/3/1.5 OZ GV,668657477,1.125,1.564,LB,30X09,270
176617,SHARP C CSHEW CRAN SNKR 4/3/1.5 OZ GV,668598607,1.125,1.564,LB,30X09,270
176661,MAC & CHEESE THICK SHR 6/7 OZ ZSUP-SR BG,668598606,2.625,3.625,LB,40X05,200
176766,SM PRO/HIC SMO GOU FCY 6/7OZ ZSUP-SR GV,668598608,2.625,3.625,LB,40X05,200
263526,MILD CHED C CUBE 12/8 OZ GV,555547859,6,6.84,LB,24X04,96
263527,COLBY JACK CUBE 12/8 OZ GV,550392109,6,6.84,LB,24X04,96
171785,MOZZ LMPS SHR 4/5 LB GV,550264301,20,21.57,LB,08X05,40
171786,FIESTA BLND FNCY SHR 4/5 LB GV,550264302,20,21.52,LB,08X05,40
171826,MILD CHED C SHR 6/32 OZ ZIP GV,550264353,12,13.26,LB,10X06,60
171827,MOZZ LMPS SHR 6/32 OZ ZIP GV,550264354,12,13.26,LB,10X06,60
171833,FIESTA FNCY 4CH SHR 6/32 OZ ZIP GV,550264375,12,13.26,LB,10X06,60
171834,MILD CHED C FNCY SHR 6/32 OZ ZIP GV,550264367,12,13.26,LB,10X06,60
171835,COLBY JACK SHR 6/32 OZ ZIP GV,550264366,12,13.26,LB,10X06,60
171836,TACO FNCY SHR 6/32 OZ ZIP GV,550264365,12,13.26,LB,10X06,60
172389,SHARP CHED C SHR 4/5 LB GV,556077214,20,21.57,LB,08X05,40
173107,MILD CHED C SLC 8/16 OZ TWPK ZIP-SR GV,566945596,8,9,LB,45X04,180
173108,SHARP CHED C SLC 8/16 OZ TWPK ZIP-SR GV,566945594,8,9,LB,45X04,180
173110,COLBY JACK SLC 8/16 OZ TWPK ZIP-SR GV,566945599,8,9,LB,45X04,180
173112,PEPPER JACK SLC 8/16 OZ TWPK ZIP-SR GV,566945592,8,9,LB,45X04,180
173117,X-SH CHD C SHNGL SLC 9/8 OZ-SR GV,566945605,4.5,5.5,LB,45X04,180
173120,MILD CHED C SHNGL SLC 9/8 OZ-SR GV,566945601,4.5,5.5,LB,45X04,180
173123,MED CHED C SHNGL SLC 9/8 OZ-SR GV,566945614,4.5,5.5,LB,45X04,180
173125,SHARP CHED C SHNGL SLC 9/8 OZ-SR GV,566945611,4.5,5.5,LB,45X04,180
173127,COLBY JACK SHNGL SLC 9/8 OZ-SR GV,566945612,4.5,5.5,LB,45X04,180
173129,GOUDA SHNGL SLC 9/8 OZ-SR GV,566945606,4.5,5.5,LB,45X04,180
