 ,,,"Cust
Pounds",,,,,,,Case Dimensions,,,Pallet Info,
Customer group,Mat'l,Yr/Mo,12/2019,01/2020,02/2020,TI/HI,PLT QTY,Net Weight ,Gross Weight,H,L,W,Gross Weight (65lb per pallet),Pallet Height in Inches (5in per plt)
HANNAFORD DAIRY,103400,MILD CHED C SHR 12/16 OZ ZSUP HANN,"27,360 ","25,920 ","14,400 ",12X05,60,12,13.05,7.14,15.82,9.82,  848.00 ,  40.700 
HANNAFORD DAIRY,103402,MILD CHED C SHR 12/8 OZ ZSUP HANN,"15,840 ","15,120 ","10,800 ",15X08,120,6,6.74,5.418,15.677,7.927,  873.80 ,  48.344 
HANNAFORD DAIRY,103403,MILD CHED C FNCY SHR 12/8 OZ ZSUP HANN,"10,764 ","10,794 ","7,128 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,103407,MILD CHED C SHR 6/2 LB ZIP HANN,"17,940 ","15,300 ","13,500 ",15X05,75,12,12.84,8.375,12.875,9.375,"  1,028.00 ",  46.875 
HANNAFORD DAIRY,103416,SHARP CHED W CHNK 12/32 OZ HANN,"7,800 ","12,456 ","9,360 ",13X05,65,24,25.03,7.25,15.75,8.625,"  1,691.95 ",  41.250 
HANNAFORD DAIRY,103418,X-SH CHED W CHNK 12/32 OZ HANN,"10,920 ","14,040 ","10,920 ",13X05,65,24,25.03,7.25,15.75,8.625,"  1,691.95 ",  41.250 
HANNAFORD DAIRY,103424,SHARP CHED W SHR 12/8 OZ ZSUP HANN,"21,438 ","19,434 ","15,120 ",15X08,120,6,6.67,5.418,15.677,7.927,  865.40 ,  48.344 
HANNAFORD DAIRY,103445,TACO FNCY SHR 12/8 OZ ZSUP HANN,"15,108 ","20,100 ","12,942 ",15X08,120,6,6.76,5.418,15.677,7.927,  876.20 ,  48.344 
HANNAFORD DAIRY,103449,MOZZ LMPS SHNGL SLC 12/8 OZ HANN,"7,668 ","8,400 ","6,912 ",16X08,128,6,6.63,4.375,12.063,8.813,  913.64 ,  40.000 
HANNAFORD DAIRY,103456,MOZZ LMPS SHR 12/16 OZ ZSUP HANN,"62,604 ","54,720 ","25,920 ",12X05,60,12,13.05,7.14,15.82,9.82,  848.00 ,  40.700 
HANNAFORD DAIRY,103458,MOZZ LMPS SHR 12/8 OZ ZSUP HANN,"21,582 ","20,154 ","16,554 ",15X08,120,6,6.74,5.418,15.677,7.927,  873.80 ,  48.344 
