Product Number,Product Name,Primary UOM,Guaranteed Shelf Life (ignore -),Shelf Life,Protect,"Fixed Wt= N, Variable Wt= Y",Width,Depth,Height,Net Weight,Tare Weight,Cubic Foot,Layer QTY,Pallet QTY,Product Group,Type,Marketing Group,Brand,Form,Characteristics,Flavor,Business Segment Name,Marketing Brand Name Code
11122000034500,"25KG BTR, SLTD, GRADE AA",CA,-30,365,2FRZ,N,11.6,15.6,10,55.12,1.1,1.05,10,50,BUTTER,BLOCK,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BULK,SALTED,REGULAR,BUTTER RESALE,0
11122150034500,"25KG BTR,SLTD,GRADE AA (DM)",CA,-30,365,2FRZ,N,11.6,15.6,10,55.12,1.1,1.05,10,50,BUTTER,BLOCK,DAIRY MERCHANDISING,LAND O LAKES,BULK,SALTED,REGULAR,DAIRY MERCHANDISING,15
11122170034500,"25KG BTR, SLTD, GRADE AA",CA,-30,365,2FRZ,N,11.6,15.6,10,55.12,1.1,1.05,10,50,BUTTER,BLOCK,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BULK,SALTED,REGULAR,BUTTER RESALE,17
15119000034500,12/15OZ TUB SPBL BTR WCO,CA,-60,180,2REF,N,7,16.38,7,11.25,1.12,0.46,15,90,BUTTER,SPREADABLE BUTTER,SUPERSPREADS,LAND O LAKES,MID-SIZE TUB,FULL FAT,REGULAR,RETAIL,0
15136000034500,36/1LB 4/4 LOL SALT BTR,CA,-60,180,2REF,N,8.38,15.58,10.38,36,2.3,0.78,13,52,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,FULL STICK,SALTED,REGULAR,RETAIL,0
15136450034500,36/1LB 4/4 LOL SALT BTR AMF,CA,-60,180,2REF,N,8.38,15.58,10.38,36,2.3,0.78,13,52,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,FULL STICK,SALTED,REGULAR,RETAIL,45
15150000034500,18/1LB 4/4 LOL UNSLT ELG BTR,CA,-60,180,2REF,N,8.38,15.75,5.31,18,1.3,0.41,13,104,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,FULL STICK,UNSALTED,REGULAR,RETAIL,0
15150450034500,18/1LB 4/4 LOL UNS ELG BTR AMF,CA,-60,180,2REF,N,8.38,15.75,5.31,18,1.3,0.41,13,104,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,FULL STICK,UNSALTED,REGULAR,RETAIL,45
15154500034500,SET UP ERROR,CA,-60,180,2REF,N,8.38,15.75,5.31,18,1.3,0.41,13,104,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,FULL STICK,UNSALTED,REGULAR,BUSINESS SEGMENT,45
15181000034500,12/1 LB LOL HLF STK SALT BTR,CA,-90,180,2REF,N,8.38,10.75,5.25,12,0.76,0.27,31,155,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,HALF STICK,SALTED,REGULAR,RETAIL,0
15181660034500,(AGED)12/1# HLF STK SALT BTR,CA,-90,180,2REF,N,8.38,10.75,5.25,12,0.76,0.27,31,155,BUTTER,STICK,SUPERSPREADS,LAND O LAKES,HALF STICK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,66
15195000034500,6/24OZ SPBL BTR W/CANOLA OIL,CA,-60,180,2REF,N,6.75,12.5,7.5,9,0.8,0.37,21,126,BUTTER,SPREADABLE BUTTER,SUPERSPREADS,LAND O LAKES,LARGE TUB,FULL FAT,REGULAR,RETAIL,0
15195750034500,(OFFSPEC)6/24OZ SPBL BTR W/CAN,CA,-60,180,2REF,N,6.75,12.5,7.5,9,0.8,0.37,21,126,BUTTER,SPREADABLE BUTTER,SUPERSPREADS,LAND O LAKES,LARGE TUB,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,75
19001000034500,912/5G LOL FBT SPREAD CUP RND,CA,-60,150,2REF,N,10.1,15.8,10.9,10.05,2.24,1.01,12,48,SPREADS,TABLE TOP,CORE,LAND O LAKES,CUP,CUP,FRESH BUTTERY TASTE,FOODSERVICE,0
39940000034500,6/106OZ ULT CHEDDAR POUCH,CA,-90,365,2DRY,N,9.63,11.63,12.38,39.75,1.55,0.8,16,48,CHEESE,K12 SAUCE,SCHOOL,LAND O LAKES,POUCH,SCHOOL FS SAUCE,CHEDDAR,FOODSERVICE,0
40122000034500,CHS WT CHED LT 31 DAYS 510#V,BR,-8,30,2REF,Y,19,23.25,35,,0,8.95,4,4,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BARRELS,BARRELS,CHEDDAR,GDI,0
40122170034500,CHS WT CHED LT 31 DAYS 510#V,BR,-8,30,2REF,Y,19,23.25,35,,0,8.95,4,4,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BARRELS,BARRELS,CHEDDAR,GDI,17
40122660034500,(AGED)CHS WT CHED LT 31 DAYS,BR,-8,30,2REF,Y,19,23.25,35,,0,8.95,4,4,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BARRELS,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,66
40122770034500,(OFFGRADE)CHS WT CHED LT 31 D,BR,-8,30,2REF,Y,19,23.25,35,,0,8.95,4,4,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BARRELS,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,77
40310000034500,CHS YEL CHED F1 BLK 640#V,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,BLOCK,CHEDDAR,GDI,0
40310420034500,CHS YEL CHED CUR BLK 640#V,BL,-1,90,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,BLOCK,CHEDDAR,GDI,42
40310660034500,(AGED)CHS YEL CHED F1 BLK 640#,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,66
40310750034500,(OS)CHS YEL F1 BLK 640#V,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,75
40310760034500,(OFFSPEC)CHS YEL CHED F1 BLK 6,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,76
40310990034500,(LANDFILL)CHS YEL CHED F1 BLK,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,99
40314000034500,CHS WT CHED BLK 640#V,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,BLOCK,CHEDDAR,GDI,0
40314420034500,CHS WT CHED CUR BLK 640#V,BL,-1,90,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,BLOCK,CHEDDAR,GDI,42
40314750034500,(OS)CHS WT BLK 640#V,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,75
40314760034500,(OFFSPEC)CHS WT CHED BLK 640#V,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,76
40314990034500,(LANDFILL)CHS WT CHED BLK 640#,BL,-1,365,2REF,Y,23.75,29.75,35.75,,0,14.62,1,1,CHEESE,NATURAL,"BUTTER, NAT CHEESE, WHEY",LAND O LAKES,BLOCK,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,GDI,99
41698000034500,4/5# FS SHRD MOZZ LMPS SMS,CA,-60,150,2REF,N,9.19,11.81,14.63,20,1.5,0.92,17,68,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SHRED,SCHOOL FS CHEESE,MOZZARELLA,FOODSERVICE,0
46020000034500,6/5# 120S 40R Y AM HILLDALE,CA,-60,270,2REF,N,10.69,11.31,7.88,30,1,0.55,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,SOS,AMERICAN,FOODSERVICE,0
46020990034500,(LANDFILL)6/5# 120S 40R Y AM H,CA,-60,270,2REF,N,10.69,11.31,7.88,30,1,0.55,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
